file_path,modifications,total_churn,total_added,total_deleted,unique_commits,first_seen,last_seen,lifespan_years,churn_density
scipy\base\src\arraymethods.c,71,2921,2284,637,71,2005-09-14 22:42:37+00:00,2006-01-01 01:24:59+00:00,0.3,5842.0
numpy\lib\arraysetops.py,71,2804,1625,1179,71,2006-01-09 12:09:24+00:00,2017-08-01 20:29:36+00:00,11.6,241.7
numpy\lib\io.py,71,3093,2168,925,71,2007-12-30 11:10:41+00:00,2010-02-21 02:56:38+00:00,2.1,1472.9
numpy\core\tests\test_indexing.py,68,2099,1684,415,68,2011-08-03 17:27:54+00:00,2017-09-18 00:38:24+00:00,6.1,344.1
scipy_distutils\misc_util.py,68,1354,975,379,68,2001-12-25 06:06:40+00:00,2004-06-01 08:51:28+00:00,2.4,564.2
numpy\distutils\fcompiler\__init__.py,68,2671,991,1680,68,2006-01-04 19:00:27+00:00,2017-08-22 18:58:40+00:00,11.6,230.3
numpy\core\src\multiarray\number.c,68,1383,839,544,68,2009-04-30 08:42:26+00:00,2017-09-23 21:17:00+00:00,8.4,164.6
numpy\core\code_generators\generate_numpy_api.py,67,1412,829,583,67,2008-05-24 23:02:56+00:00,2017-06-01 16:23:30+00:00,9.0,156.9
numpy\core\defmatrix.py,65,2291,925,1366,65,2006-01-04 21:05:36+00:00,2009-07-12 22:36:33+00:00,3.5,654.6
numpy\core\src\multiarray\getset.c,65,1090,616,474,65,2009-04-30 08:42:26+00:00,2017-07-31 20:49:07+00:00,8.3,131.3
numpy\core\src\multiarray\conversion_utils.c,64,2627,1896,731,64,2009-05-05 11:08:48+00:00,2017-04-10 13:32:43+00:00,7.9,332.5
numpy\core\src\multiarray\scalarapi.c,63,1608,1238,370,63,2009-04-30 08:43:45+00:00,2017-08-12 00:05:18+00:00,8.3,193.7
numpy\core\code_generators\ufunc_docstrings.py,62,3391,2177,1214,62,2009-03-08 18:21:06+00:00,2017-09-18 00:54:38+00:00,8.5,398.9
numpy\polynomial\chebyshev.py,62,4080,3133,947,62,2009-11-14 22:30:39+00:00,2017-09-12 16:30:25+00:00,7.8,523.1
numpy\testing\numpytest.py,62,4062,1168,2894,62,2006-01-17 12:01:48+00:00,2014-05-06 14:20:32+00:00,8.3,489.4
numpy\distutils\command\build_ext.py,62,1576,671,905,62,2006-01-04 19:00:27+00:00,2017-08-22 18:58:40+00:00,11.6,135.9
numpy\core\src\multiarray\nditer_constr.c,62,5154,4203,951,62,2011-07-07 17:04:53+00:00,2017-02-10 19:49:07+00:00,5.6,920.4
numpy\core\tests\test_dtype.py,61,1227,968,259,61,2009-03-16 17:55:17+00:00,2017-08-01 20:29:36+00:00,8.4,146.1
